GEOID,NAME,stname,state,3_10,3_15,3_20,3_25,3_50,3_100,3_500,3_1000,3_5000,4_10,4_15,4_20,4_25,4_50,4_100,4_500,4_1000,4_5000,5_10,5_15,5_20,5_25,5_50,5_100,5_500,5_1000,5_5000,v,cnt_fully_vacc,last_date,is_last,pop,pct_fully_vacc,imOp,updated
21007,Ballard,KY,Kentucky,12,18,24,28,49,74,100,100,100,16,24,30,36,59,83,100,100,100,20,29,36,43,67,89,100,100,100,21007,2780.57142857143,2021-12-05,FALSE,7888,35.2506519849319,0,2021-12-23
21017,Bourbon,KY,Kentucky,14,20,26,31,52,77,100,100,100,18,26,33,39,63,86,100,100,100,22,31,39,46,71,92,100,100,100,21017,10413.1428571429,2021-12-05,FALSE,19788,52.6235236362586,0.7,2021-12-23
21031,Butler,KY,Kentucky,11,16,21,26,45,70,100,100,100,15,22,28,33,55,80,100,100,100,18,26,33,40,64,87,100,100,100,21031,5401.28571428571,2021-12-05,FALSE,12879,41.9387042028551,0,2021-12-23
21065,Estill,KY,Kentucky,18,26,34,40,64,87,100,100,100,24,34,42,50,74,94,100,100,100,29,40,50,58,82,97,100,100,100,21065,6731.14285714286,2021-12-05,FALSE,14106,47.7182961657653,0,2021-12-23
21069,Fleming,KY,Kentucky,20,28,35,42,66,89,100,100,100,25,36,44,52,77,95,100,100,100,31,42,52,60,84,97,100,100,100,21069,6987.42857142857,2021-12-05,FALSE,14581,47.9214633525037,0,2021-12-23
21093,Hardin,KY,Kentucky,14,20,26,31,53,78,100,100,100,18,26,33,40,64,87,100,100,100,22,32,40,47,72,92,100,100,100,21093,61799.1428571429,2021-12-05,FALSE,110958,55.6959776286008,0.7,2021-12-23
21099,Hart,KY,Kentucky,15,22,28,34,56,81,100,100,100,20,28,36,42,67,89,100,100,100,24,34,42,50,75,94,100,100,100,21099,6314.71428571429,2021-12-05,FALSE,19035,33.174227926001,0,2021-12-23
21131,Leslie,KY,Kentucky,18,25,32,38,62,86,100,100,100,23,32,40,48,72,92,100,100,100,28,38,48,55,80,96,100,100,100,21131,4821.28571428571,2021-12-05,FALSE,9877,48.8132602438566,0,2021-12-23
21151,Madison,KY,Kentucky,18,25,32,38,62,86,100,100,100,23,32,40,48,72,92,100,100,100,28,38,48,56,80,96,100,100,100,21151,41448.7142857143,2021-12-05,FALSE,92987,44.574740862394,0,2021-12-23
21155,Marion,KY,Kentucky,16,23,29,35,58,82,100,100,100,20,29,37,44,68,90,100,100,100,25,35,44,51,76,94,100,100,100,21155,8968,2021-12-05,FALSE,19273,46.5314170082499,0,2021-12-23
21179,Nelson,KY,Kentucky,16,23,30,36,59,83,100,100,100,21,30,38,44,69,90,100,100,100,26,36,45,52,77,95,100,100,100,21179,22259.4285714286,2021-12-05,FALSE,46233,48.1461911868764,0,2021-12-23
17091,Kankakee,IL,Illinois,21,30,38,45,70,91,100,100,100,28,38,48,55,80,96,100,100,100,33,46,56,64,87,98,100,100,100,17091,52097.5714285714,2021-12-05,FALSE,109862,47.4209202714054,0,2021-12-23
17187,Warren,IL,Illinois,21,30,38,45,70,91,100,100,100,28,38,48,55,80,96,100,100,100,33,46,56,64,87,98,100,100,100,17187,7783.14285714286,2021-12-05,FALSE,16844,46.2072124028904,0,2021-12-23
17197,Will,IL,Illinois,22,31,38,46,70,91,100,100,100,28,39,48,56,80,96,100,100,100,34,46,56,64,87,98,100,100,100,17197,424251.571428571,2021-12-05,FALSE,690743,61.4195976547821,0.7,2021-12-23
18027,Daviess,IN,Indiana,12,18,23,28,48,73,100,100,100,16,23,29,35,58,82,100,100,100,20,28,35,42,66,88,100,100,100,18027,10436.5714285714,2021-12-05,FALSE,33351,31.2931289273828,0,2021-12-23
18061,Harrison,IN,Indiana,18,25,32,38,62,86,100,100,100,23,32,40,48,73,92,100,100,100,28,39,48,56,80,96,100,100,100,18061,19332.1428571429,2021-12-05,FALSE,40515,47.7160134694381,0,2021-12-23
1001,Autauga,AL,Alabama,5,8,10,12,23,41,93,100,100,7,10,13,16,30,50,97,100,100,8,12,16,20,35,58,99,100,100,1001,20914,2021-12-05,FALSE,55869,37.433997386744,0,2021-12-23
1005,Barbour,AL,Alabama,1,2,2,3,6,11,46,70,100,2,2,3,4,8,15,56,80,100,2,3,4,5,10,18,64,87,100,1005,10154.2857142857,2021-12-05,FALSE,24686,41.1337831738059,0,2021-12-23
1023,Choctaw,AL,Alabama,2,4,5,6,11,21,70,91,100,3,5,6,8,15,27,80,96,100,4,6,8,10,18,33,86,98,100,1023,7717.14285714286,2021-12-05,FALSE,12589,61.3006820012937,0.7,2021-12-23
1035,Conecuh,AL,Alabama,1,2,2,3,6,12,46,71,100,2,2,3,4,8,15,56,81,100,2,3,4,5,10,19,64,87,100,1035,4757,2021-12-05,FALSE,12067,39.4215629402503,0,2021-12-23
1051,Elmore,AL,Alabama,7,10,14,17,31,52,98,100,100,9,14,18,22,39,63,99,100,100,12,17,22,27,46,71,100,100,100,1051,33555.2857142857,2021-12-05,FALSE,81209,41.3196637248159,0,2021-12-23
1055,Etowah,AL,Alabama,3,5,6,8,15,28,81,96,100,4,6,8,10,20,36,89,99,100,5,8,10,13,24,43,94,100,100,1055,39234,2021-12-05,FALSE,102268,38.3639065983494,0,2021-12-23
1065,Hale,AL,Alabama,4,6,8,10,20,36,89,99,100,6,8,11,14,25,44,95,100,100,7,10,14,17,31,52,98,100,100,1065,8330.71428571429,2021-12-05,FALSE,14651,56.861062628587,0.7,2021-12-23
1089,Madison,AL,Alabama,6,9,12,14,26,46,95,100,100,8,12,15,18,34,56,98,100,100,10,14,18,23,40,64,99,100,100,1089,209053.714285714,2021-12-05,FALSE,372909,56.060249091793,0.7,2021-12-23
1113,Russell,AL,Alabama,3,5,6,8,14,27,79,96,100,4,6,8,10,19,34,87,98,100,5,8,10,12,23,40,92,99,100,1113,21193.2857142857,2021-12-05,FALSE,57961,36.564734415013,0,2021-12-23
1117,Shelby,AL,Alabama,6,9,12,14,27,46,96,100,100,8,12,15,19,34,56,98,100,100,10,14,19,23,40,65,99,100,100,1117,72634.8571428571,2021-12-05,FALSE,217702,33.3643499567561,0,2021-12-23
2016,Aleutians West,AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,3223.28571428571,2021-12-05,FALSE,5634,57.2113190324053,0.7,2021-12-23
2130,Ketchikan Gateway,AK,Alaska,15,22,28,34,56,81,100,100,100,20,28,36,43,67,89,100,100,100,24,34,43,50,75,94,100,100,100,2130,8332.14285714286,2021-12-05,FALSE,13901,59.9391616224938,0.7,2021-12-23
2180,Nome,AK,Alaska,18,26,33,40,64,87,100,100,100,24,34,42,49,74,93,100,100,100,29,40,50,57,82,97,100,100,100,2180,6401.14285714286,2021-12-05,FALSE,10004,63.9858342377335,0.7,2021-12-23
2998,Yakutat plus Hoonah-Angoon,AK,Alaska,0,0,0,0,0,0,0,0,0,4,6,8,10,19,34,88,98,100,5,8,10,12,23,41,93,100,100,2998,1889.71428571429,2021-12-05,FALSE,2727,69.2964534548693,0.7,2021-12-23
5011,Bradley,AR,Arkansas,3,5,7,8,16,29,82,97,100,4,7,9,11,20,36,90,99,100,6,8,11,13,25,43,94,100,100,5011,5684.85714285714,2021-12-05,FALSE,10763,52.8185184693593,0.7,2021-12-23
5015,Carroll,AR,Arkansas,5,8,11,13,24,43,94,100,100,7,11,14,17,31,53,98,100,100,9,13,17,21,37,61,99,100,100,5015,12371.8571428571,2021-12-05,FALSE,28380,43.59357696567,0,2021-12-23
5019,Clark,AR,Arkansas,3,5,7,8,16,29,82,97,100,4,7,9,11,21,37,90,99,100,6,8,11,13,25,44,94,100,100,5019,10185.8571428571,2021-12-05,FALSE,22320,45.6355606758833,0,2021-12-23
5025,Cleveland,AR,Arkansas,8,12,15,18,33,56,98,100,100,10,15,20,24,42,66,100,100,100,13,18,24,29,49,74,100,100,100,5025,3907,2021-12-05,FALSE,7956,49.1075917546506,0,2021-12-23
5063,Independence,AR,Arkansas,7,11,14,18,32,54,98,100,100,10,14,18,23,40,64,99,100,100,12,18,23,27,47,72,100,100,100,5063,14299.5714285714,2021-12-05,FALSE,37825,37.8045510338967,0,2021-12-23
5067,Jackson,AR,Arkansas,8,12,15,19,34,56,98,100,100,10,15,20,24,42,67,100,100,100,13,19,24,29,50,75,100,100,100,5067,5983.28571428571,2021-12-05,FALSE,16719,35.7873420317346,0,2021-12-23
5121,Randolph,AR,Arkansas,12,17,22,27,47,72,100,100,100,16,22,29,34,57,81,100,100,100,19,27,34,41,65,88,100,100,100,5121,6753,2021-12-05,FALSE,17958,37.6044102906782,0,2021-12-23
6001,Alameda,CA,California,4,5,7,8,16,30,83,97,100,5,7,9,11,21,38,91,99,100,6,8,11,14,26,45,95,100,100,6001,1245668.75,2021-12-07,FALSE,1671329,74.5316302176292,0.7,2021-12-23
6003,Alpine,CA,California,0,0,0,0,0,0,0,0,0,10,14,18,22,40,64,99,100,100,12,17,22,27,47,72,100,100,100,6003,711.25,2021-12-07,FALSE,1129,62.9982285208149,0.7,2021-12-23
6005,Amador,CA,California,4,6,8,9,18,33,86,98,100,5,8,10,12,23,41,93,100,100,6,9,12,15,28,48,96,100,100,6005,19647.875,2021-12-07,FALSE,39752,49.4261295029181,0,2021-12-23
6013,Contra Costa,CA,California,4,5,7,9,16,30,84,97,100,5,7,9,11,21,38,91,99,100,6,9,11,14,26,45,95,100,100,6013,875381,2021-12-07,FALSE,1153526,75.8874095599059,0.7,2021-12-23
6019,Fresno,CA,California,4,7,9,11,21,37,90,99,100,6,9,12,14,26,46,95,100,100,7,11,14,18,32,54,98,100,100,6019,549046.125,2021-12-07,FALSE,999101,54.9540161605283,0.7,2021-12-23
6023,Humboldt,CA,California,5,8,11,13,24,43,94,100,100,7,11,14,17,31,53,98,100,100,9,13,17,21,37,61,99,100,100,6023,82937.25,2021-12-07,FALSE,135558,61.1821139290931,0.7,2021-12-23
6033,Lake,CA,California,3,4,6,8,14,27,79,96,100,4,6,8,10,19,34,87,98,100,5,8,10,12,23,40,92,99,100,6033,32922.25,2021-12-07,FALSE,64386,51.1326219985711,0.7,2021-12-23
6037,Los Angeles,CA,California,8,11,14,18,32,54,98,100,100,10,14,19,23,41,65,100,100,100,12,18,23,28,48,73,100,100,100,6037,6696912.25,2021-12-07,FALSE,10039107,66.7082465601771,0.7,2021-12-23
6047,Merced,CA,California,4,6,8,10,20,36,89,99,100,6,8,11,14,26,45,95,100,100,7,10,14,17,31,52,98,100,100,6047,126514.375,2021-12-07,FALSE,277680,45.5612125468165,0,2021-12-23
6057,Nevada,CA,California,5,8,10,12,23,40,92,99,100,7,10,13,16,29,50,97,100,100,8,12,16,19,35,58,99,100,100,6057,58911,2021-12-07,FALSE,99755,59.0556864317578,0.7,2021-12-23
6081,San Mateo,CA,California,4,6,7,9,18,32,86,98,100,5,7,10,12,23,40,92,99,100,6,9,12,15,28,48,96,100,100,6081,592471.75,2021-12-07,FALSE,766573,77.2883665352158,0.7,2021-12-23
6085,Santa Clara,CA,California,4,6,8,9,18,32,86,98,100,5,8,10,12,23,41,93,100,100,6,9,12,15,28,48,96,100,100,6085,1523685.625,2021-12-07,FALSE,1927852,79.0354044293857,0.7,2021-12-23
6115,Yuba,CA,California,5,8,10,12,23,41,93,100,100,7,10,13,16,30,50,97,100,100,8,12,16,20,36,58,99,100,100,6115,34649.625,2021-12-07,FALSE,78668,44.0453869425942,0,2021-12-23
8013,Boulder,CO,Colorado,9,14,18,22,38,62,99,100,100,12,18,23,28,48,73,100,100,100,15,22,28,33,56,80,100,100,100,8013,264445.857142857,2021-12-05,FALSE,326196,81.069619842934,0.7,2021-12-23
8029,Delta,CO,Colorado,6,10,12,15,28,48,96,100,100,8,12,16,20,36,59,99,100,100,10,15,20,24,42,67,100,100,100,8029,16136.4285714286,2021-12-05,FALSE,31162,51.7823906406154,0.7,2021-12-23
8049,Grand,CO,Colorado,8,12,16,19,35,57,99,100,100,11,16,20,25,43,68,100,100,100,13,19,25,30,51,76,100,100,100,8049,10576.5714285714,2021-12-05,FALSE,15734,67.2211225916577,0.7,2021-12-23
8077,Mesa,CO,Colorado,14,20,25,31,52,77,100,100,100,18,25,32,39,62,86,100,100,100,22,31,39,46,70,91,100,100,100,8077,83440,2021-12-05,FALSE,154210,54.1080344984113,0.7,2021-12-23
8083,Montezuma,CO,Colorado,11,16,21,26,45,70,100,100,100,15,21,28,33,55,80,100,100,100,18,26,33,40,63,87,100,100,100,8083,17132.4285714286,2021-12-05,FALSE,26183,65.433405535762,0.7,2021-12-23
8091,Ouray,CO,Colorado,9,13,17,20,37,60,99,100,100,12,17,22,26,46,70,100,100,100,14,20,26,32,53,78,100,100,100,8091,3521.57142857143,2021-12-05,FALSE,4952,71.1141241633972,0.7,2021-12-23
9009,New Haven,CT,Connecticut,23,32,40,47,72,92,100,100,100,29,40,50,58,82,97,100,100,100,35,48,58,66,88,99,100,100,100,9009,613820.857142857,2021-12-05,FALSE,854757,71.8123229342207,0.7,2021-12-23
11001,District of Columbia,DC,District of Columbia,25,35,44,52,76,94,100,100,100,32,44,54,62,86,98,100,100,100,39,52,62,70,91,99,100,100,100,11001,441302.857142857,2021-12-05,FALSE,705749,62.5297176677342,0.7,2021-12-23
12009,Brevard,FL,Florida,2,3,4,5,10,19,65,88,100,3,4,6,7,13,25,76,94,100,4,5,7,8,16,30,83,97,100,12009,361744.428571429,2021-12-05,FALSE,601942,60.0962266416745,0.7,2021-12-23
12023,Columbia,FL,Florida,2,3,4,6,11,20,67,89,100,3,4,6,7,14,26,78,95,100,4,6,7,9,17,31,85,98,100,12023,28349.4285714286,2021-12-05,FALSE,71686,39.5466737876692,0,2021-12-23
12039,Gadsden,FL,Florida,3,4,6,7,14,25,77,95,100,4,6,8,9,18,32,86,98,100,5,7,9,11,22,38,91,99,100,12039,24802.7142857143,2021-12-05,FALSE,45660,54.3204430260935,0.7,2021-12-23
12055,Highlands,FL,Florida,2,3,4,5,10,19,65,88,100,3,4,6,7,13,25,76,94,100,4,5,7,8,16,30,83,97,100,12055,51830.5714285714,2021-12-05,FALSE,106221,48.7950324592796,0,2021-12-23
12065,Jefferson,FL,Florida,1,2,2,3,5,10,41,65,100,1,2,3,4,7,13,50,76,100,2,3,4,4,8,16,58,83,100,12065,8125.42857142857,2021-12-05,FALSE,14246,57.036561641363,0.7,2021-12-23
12073,Leon,FL,Florida,2,3,4,5,11,20,67,89,100,3,4,6,7,14,26,78,95,100,4,5,7,9,17,31,84,98,100,12073,155657.571428571,2021-12-05,FALSE,293582,53.0201345547654,0.7,2021-12-23
12095,Orange,FL,Florida,4,5,7,9,16,30,83,97,100,5,7,9,11,21,38,91,99,100,6,9,11,14,26,45,95,100,100,12095,892003.285714286,2021-12-05,FALSE,1393452,64.0139226693338,0.7,2021-12-23
12107,Putnam,FL,Florida,1,1,1,2,4,7,30,51,97,1,1,2,2,5,9,38,62,99,1,2,2,3,6,11,45,70,100,12107,28982.4285714286,2021-12-05,FALSE,74521,38.8916259462817,0,2021-12-23
