GEOID,NAME,stname,state,3_10,3_15,3_20,3_25,3_50,3_100,3_500,3_1000,3_5000,4_10,4_15,4_20,4_25,4_50,4_100,4_500,4_1000,4_5000,5_10,5_15,5_20,5_25,5_50,5_100,5_500,5_1000,5_5000,cnt_fully_vacc,last_date,is_last,popC,pct_fully_vacc,imOp,updated
21007,Ballard,KY,Kentucky,8,12,16,20,35,58,99,100,100,11,16,21,25,44,69,100,100,100,14,20,25,31,52,77,100,100,100,2724.42857142857,2021-11-14,FALSE,7888,34.5389017676036,0,2021-12-04
21017,Bourbon,KY,Kentucky,16,22,29,34,57,81,100,100,100,20,29,36,43,68,89,100,100,100,25,34,43,51,76,94,100,100,100,10186.8571428571,2021-11-14,FALSE,19788,51.479973432672,0.7,2021-12-04
21031,Butler,KY,Kentucky,13,19,24,29,50,75,100,100,100,17,24,31,37,60,84,100,100,100,20,29,37,44,68,90,100,100,100,5313,2021-11-14,FALSE,12879,41.253202888423,0,2021-12-04
21065,Estill,KY,Kentucky,20,28,36,42,67,89,100,100,100,26,36,45,52,77,95,100,100,100,31,43,52,60,84,98,100,100,100,6586.57142857143,2021-11-14,FALSE,14106,46.6934030098641,0,2021-12-04
21069,Fleming,KY,Kentucky,18,26,33,39,63,86,100,100,100,23,33,41,49,74,93,100,100,100,28,39,49,57,81,96,100,100,100,6836.28571428571,2021-11-14,FALSE,14581,46.884889337396,0,2021-12-04
21093,Hardin,KY,Kentucky,12,18,23,28,49,74,100,100,100,16,24,30,36,59,83,100,100,100,20,28,36,43,67,89,100,100,100,60221.8571428571,2021-11-14,FALSE,110958,54.2744616367068,0.7,2021-12-04
21099,Hart,KY,Kentucky,12,17,22,27,46,71,100,100,100,15,22,28,34,56,81,100,100,100,19,27,34,40,64,87,100,100,100,6199.14285714286,2021-11-14,FALSE,19035,32.5670756876431,0,2021-12-04
21131,Leslie,KY,Kentucky,12,17,22,27,46,71,100,100,100,15,22,28,34,56,81,100,100,100,19,27,34,41,65,88,100,100,100,4762.28571428571,2021-11-14,FALSE,9877,48.2159128711726,0,2021-12-04
21151,Madison,KY,Kentucky,14,20,26,32,53,78,100,100,100,18,26,33,40,64,87,100,100,100,22,32,40,47,72,92,100,100,100,40353.5714285714,2021-11-14,FALSE,92987,43.3970032677379,0,2021-12-04
21155,Marion,KY,Kentucky,15,21,27,33,55,80,100,100,100,19,28,35,42,66,88,100,100,100,24,33,42,49,74,93,100,100,100,8790.14285714286,2021-11-14,FALSE,19273,45.6085864014054,0,2021-12-04
